title,batch_idx,dict_version,batch_accuracy,batch_macro_f1,batch_weighted_f1,batch_phishing_precision,batch_phishing_recall,batch_phishing_f1,river_cumulative_accuracy,river_cumulative_macro_f1,river_cumulative_weighted_f1,transformer_used_count,transformer_promote_count,transformer_demote_count,mean_transformer_phish_prob,prediction_mode
Before Update - Progressive Stream Batch 52,52,17,0.9382,0.91321540915409,0.9387970336402577,0.796,0.8492176386913229,0.8217481073640743,0.9279115384615385,0.8940927316353918,0.9281658245791025,1218,87,118,0.6278930902481079,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 53,53,17,0.9252,0.8994729286605975,0.925711300907389,0.8073394495412844,0.8202396804260985,0.8137384412153237,0.9278603773584906,0.8941945891273554,0.9281184841768185,1478,74,194,0.5381655693054199,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 54,54,17,0.9464,0.9301240198992157,0.9471953922078244,0.8102189781021898,0.8856382978723404,0.8462515883100381,0.9282037037037038,0.8948663538200643,0.9284734525366467,1274,83,106,0.6560428738594055,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 55,55,18,0.9212,0.8817992645922251,0.9189276289380396,0.8284734133790738,0.679324894514768,0.7465224111282844,0.9280763636363636,0.8946488130054738,0.9283085070902658,1198,99,102,0.504047691822052,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 56,56,18,0.937,0.9076881231654328,0.937749466817559,0.7929226736566186,0.8437935843793585,0.8175675675675675,0.9282357142857143,0.8948815967252304,0.9284776337312572,1462,153,82,0.5508829355239868,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 57,57,18,0.929,0.8844744194452856,0.9298819070164845,0.7819971870604782,0.792022792022792,0.7869780608634112,0.9282491228070175,0.8946879945895604,0.9285000183604099,1270,80,201,0.5808025002479553,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 58,58,19,0.9336,0.9086897107942091,0.9341972437153705,0.7965425531914894,0.8365921787709497,0.8160762942779292,0.9283413793103449,0.8949390820268482,0.9285986568304873,1247,78,142,0.6202432513237,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 59,59,19,0.9338,0.8973172728157395,0.9342533681013651,0.8121546961325967,0.8021828103683493,0.8071379547014413,0.9284338983050847,0.8949746430230877,0.928693488935669,1372,76,184,0.5495343208312988,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 60,60,19,0.9454,0.920585940768093,0.9461254806585195,0.8002699055330634,0.8656934306569343,0.8316970546984572,0.9287166666666666,0.8953977417410179,0.9289845598505478,1359,80,144,0.5788794755935669,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 61,61,20,0.9294,0.9123726055408194,0.9304611465153839,0.7754854368932039,0.852,0.8119440914866582,0.9287278688524591,0.8956961074368399,0.9290078395798417,1575,88,233,0.5473415851593018,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 62,62,20,0.937,0.9129772628582579,0.9380393151419854,0.7832699619771863,0.8500687757909215,0.8153034300791556,0.9288612903225807,0.8959832829292582,0.9291539562359304,1611,56,334,0.5130195021629333,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 63,63,20,0.936,0.9087844904893192,0.9371884129259177,0.779639175257732,0.859375,0.8175675675675675,0.9289746031746031,0.8961886167611902,0.9292827405719333,1645,70,296,0.5044733285903931,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 64,64,21,0.9352,0.903248788243263,0.9365885826867663,0.8017676767676768,0.8627717391304348,0.831151832460733,0.929071875,0.8962905392993923,0.9293963187044861,1535,66,207,0.5531523823738098,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 65,65,21,0.9482,0.9251479342614579,0.9481304997879443,0.8571428571428571,0.8428372739916551,0.8499298737727911,0.9293661538461538,0.8967208183622103,0.9296822989206296,1095,82,84,0.6680309772491455,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 66,66,21,0.9398,0.9066861558615704,0.939839616985933,0.8600823045267489,0.8271767810026385,0.8433086751849361,0.9295242424242425,0.8968794934125374,0.9298342227374661,1234,122,96,0.6226686835289001,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 67,67,22,0.9436,0.9165844660616623,0.9438798111586564,0.8386648122392212,0.8433566433566434,0.8410041841004184,0.9297343283582089,0.8971704873718822,0.9300439746832115,1232,96,90,0.6072483658790588,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 68,68,22,0.9348,0.9118412573724648,0.935872448088994,0.7930622009569378,0.8723684210526316,0.8308270676691729,0.9298088235294117,0.8974014872834242,0.9301319774008042,1577,94,212,0.559456467628479,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 69,69,22,0.9428,0.9204457986866699,0.9433737429323317,0.8166666666666667,0.8607277289836889,0.83811850946854,0.9299971014492754,0.897738938093892,0.9303247186104705,1629,66,276,0.5465622544288635,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 70,70,23,0.9406,0.9143969574774068,0.9409662425175543,0.8095872170439414,0.8272108843537415,0.8183041722745625,0.9301485714285714,0.8979716316695727,0.9304766525881886,1318,60,172,0.5966553092002869,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 71,71,23,0.9348,0.9056139382188798,0.9351187650189937,0.8126684636118598,0.8181818181818182,0.8154158215010142,0.9302140845070422,0.8980706557542336,0.9305402801922074,1382,81,189,0.5603873133659363,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 72,72,23,0.9376,0.9132476808100498,0.938286212369369,0.7913279132791328,0.8390804597701149,0.8145048814504882,0.9303166666666667,0.8982907496784782,0.9306471536989023,1513,83,174,0.5246865153312683,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 73,73,24,0.933,0.8945293297815732,0.9341072753022283,0.8277254374158816,0.8436213991769548,0.8355978260869565,0.9303534246575342,0.898238177085158,0.9306918877584174,1126,92,98,0.6768473386764526,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 74,74,24,0.9368,0.9075114034669409,0.9371803214543992,0.8033012379642366,0.8213783403656821,0.8122392211404729,0.9304405405405406,0.8983659880163116,0.9307794867941491,1285,79,144,0.5880909562110901,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 75,75,24,0.943,0.916802024252032,0.9438818406184595,0.7986754966887417,0.8589743589743589,0.8277282086479066,0.930608,0.8986017242930044,0.9309547534655165,1348,74,174,0.5911040306091309,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 76,76,25,0.9372,0.9107852855958147,0.9371943877526026,0.8221614227086184,0.8056300268096515,0.8138117806364252,0.9306947368421052,0.8987584445387717,0.9310357909319191,1036,98,77,0.7115638256072998,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 77,77,25,0.9498,0.9301386178574775,0.9502118039597184,0.819327731092437,0.8590308370044053,0.8387096774193549,0.9309428571428572,0.8991754093141106,0.9312836667949089,1051,81,90,0.6872444748878479,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 78,78,25,0.9452,0.9220080274010859,0.9460906085867647,0.8097560975609757,0.8818061088977424,0.8442466624284806,0.931125641025641,0.899470124768422,0.9314750489790891,1535,71,192,0.5652233958244324,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 79,79,26,0.9442,0.9186299940650691,0.9449196530616842,0.8194070080862533,0.8685714285714285,0.8432732316227461,0.9312911392405063,0.8997114130382878,0.9316454701385766,1300,66,152,0.5925265550613403,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 80,80,26,0.9366,0.9083399383263676,0.937141897067852,0.8035487959442332,0.8342105263157895,0.8185926404131698,0.9313575,0.8998202690430662,0.9317143372748686,1473,77,157,0.5653001666069031,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 81,81,26,0.9362,0.9087585196521378,0.9367982083260242,0.8011049723756906,0.8345323741007195,0.817477096546864,0.9314172839506173,0.8999304496851207,0.9317754369351973,1361,86,127,0.5599012970924377,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 82,82,27,0.9544,0.9373365940544061,0.9545329401309011,0.8514442916093535,0.8657342657342657,0.8585298196948682,0.9316975609756097,0.9003816883844835,0.9320516022635896,1262,110,83,0.60183185338974,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 83,83,27,0.9448,0.9242567399047074,0.9456476677821011,0.8068783068783069,0.8789625360230547,0.8413793103448276,0.931855421686747,0.9006521341773016,0.9322154260473831,1377,73,149,0.5721293687820435,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 84,84,27,0.941,0.9214474287519148,0.941785990935024,0.7977099236641222,0.8660220994475138,0.8304635761589404,0.9319642857142857,0.9008975626716457,0.9323295492925401,1538,88,137,0.5447152256965637,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 85,85,28,0.9466,0.9192851887108229,0.94705176690393,0.8256756756756757,0.8605633802816901,0.8427586206896551,0.9321364705882353,0.9011131033144798,0.9325032232976357,1401,93,156,0.559314489364624,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 86,86,28,0.9438,0.9173421223470895,0.9436422332360209,0.8340486409155937,0.8119777158774373,0.8228652081863091,0.9322720930232559,0.9012949605657945,0.9326320789352589,1032,119,72,0.6944007873535156,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 87,87,28,0.9426,0.9155718672300472,0.9433923464269502,0.7939972714870396,0.8521229868228404,0.8220338983050848,0.9323908045977012,0.9014505565177942,0.9327559266584221,1337,71,167,0.577984094619751,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 88,88,29,0.9414,0.9140031106986346,0.9422739172281428,0.7948051948051948,0.8631875881523272,0.8275862068965517,0.9324931818181819,0.9015920242298481,0.9328645173080775,1518,63,187,0.544651210308075,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 89,89,29,0.9348,0.904208562114488,0.9346382333777429,0.837431693989071,0.7971391417425228,0.8167888074616922,0.9325191011235955,0.9016183555395225,0.9328835485684915,1393,57,155,0.5474294424057007,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 90,90,29,0.9464,0.9226299889240472,0.9466279851103602,0.8398914518317503,0.8491083676268861,0.844474761255116,0.9326733333333334,0.9018503870791424,0.9330359507053375,1304,114,86,0.5959747433662415,hybrid_base_plus_transformer_specialist
